iter	RMSE
0	27.46053013
1	27.25297653
2	27.05423016
3	26.84676605
4	26.64295325
5	26.44433519
6	26.23869468
7	26.02765294
8	25.83378669
9	25.63697422
10	25.43976333
11	25.2393094
12	25.04304046
13	24.85133486
14	24.66376903
15	24.475187
16	24.29348836
17	24.10721062
18	23.9169716
19	23.76205801
20	23.58875479
21	23.40901033
22	23.23407854
23	23.07016181
24	22.89494
25	22.7315255
26	22.56544536
27	22.40099215
28	22.23468815
29	22.06247453
30	21.89737603
31	21.74936803
32	21.58609276
33	21.41876618
34	21.26225574
35	21.10334667
36	20.9524887
37	20.79647432
38	20.63971399
39	20.49073976
40	20.33541659
41	20.18681166
42	20.04948359
43	19.90057563
44	19.76974518
45	19.62239015
46	19.47850528
47	19.33754976
48	19.19719187
49	19.05358916
50	18.91346652
51	18.77765685
52	18.63372207
53	18.50015048
54	18.36658007
55	18.24267732
56	18.1068723
57	17.98047886
58	17.84438622
59	17.72173926
60	17.60429005
61	17.48447582
62	17.36742575
63	17.2453724
64	17.12679447
65	17.00548397
66	16.88952549
67	16.77483827
68	16.65649383
69	16.54173694
70	16.42921615
71	16.31362042
72	16.19847223
73	16.09218299
74	15.98415095
75	15.87303084
76	15.76697939
77	15.65653351
78	15.55465086
79	15.44909189
80	15.34223738
81	15.23658878
82	15.12916011
83	15.03105169
84	14.92331912
85	14.82021602
86	14.72793607
87	14.63436473
88	14.54920669
89	14.45952898
90	14.3637446
91	14.27228813
92	14.18234424
93	14.09594078
94	14.00128023
95	13.90922281
96	13.81342394
97	13.7208899
98	13.62999158
99	13.54025237
100	13.45154655
101	13.36320268
102	13.28795446
103	13.2080891
104	13.11974726
105	13.03046105
106	12.95007393
107	12.86843396
108	12.77892593
109	12.70210018
110	12.61471642
111	12.53287627
112	12.44953914
113	12.37034054
114	12.28818643
115	12.22003892
116	12.14278934
117	12.0642804
118	11.98639534
119	11.910176
120	11.83861549
121	11.76666349
122	11.69406779
123	11.61980479
124	11.54549334
125	11.47118526
126	11.40251137
127	11.33229314
128	11.26115215
129	11.20131671
130	11.13133166
131	11.06403147
132	10.99288901
133	10.92576719
134	10.85813513
135	10.78805043
136	10.73078439
137	10.66583054
138	10.60130672
139	10.53815311
140	10.48131351
141	10.41872166
142	10.35560731
143	10.29028916
144	10.23617501
145	10.17184553
146	10.1127736
147	10.05119674
148	9.992646932
149	9.930258839
150	9.872374143
151	9.812458294
152	9.760234923
153	9.70525731
154	9.650206452
155	9.593061599
156	9.54264794
157	9.482792088
158	9.427083608
159	9.370093169
160	9.313425742
161	9.260593021
162	9.209324234
163	9.155411109
164	9.107422535
165	9.058545856
166	9.011137312
167	8.956826574
168	8.908712654
169	8.855492755
170	8.8029383
171	8.756002064
172	8.706036184
173	8.656906787
174	8.608430047
175	8.555945718
176	8.504659961
177	8.462886296
178	8.417821486
179	8.370713928
180	8.328960267
181	8.284724447
182	8.243555712
183	8.19797732
184	8.154090219
185	8.114917806
186	8.075936369
187	8.032941401
188	7.992553958
189	7.947318968
190	7.903237399
191	7.857924281
192	7.817358437
193	7.780151853
194	7.741670422
195	7.698694431
196	7.657058559
197	7.616270205
198	7.578145857
199	7.536538092
200	7.497961258
201	7.460243183
202	7.42703084
203	7.385793825
204	7.347847663
205	7.313593053
206	7.280382917
207	7.245299968
208	7.207436114
209	7.176468491
210	7.139052068
211	7.105799562
212	7.070138521
213	7.033352429
214	6.998008717
215	6.9676163
216	6.933548706
217	6.900735946
218	6.8640362
219	6.832177274
220	6.796504692
221	6.76194221
222	6.730458393
223	6.702406985
224	6.67014963
225	6.636442567
226	6.605459805
227	6.574863015
228	6.544879481
229	6.514353797
230	6.48649669
231	6.455260766
232	6.425860613
233	6.395663338
234	6.371006258
235	6.341212479
236	6.310896241
237	6.278626587
238	6.247489481
