date,no2_mol_m2,ndvi
2024-01-01,0.00026,0.01754386
2024-01-02,0.000321,0.018127599
2024-01-03,0.000313,0.009558888
2024-01-04,0.000208,0.016182032
2024-01-05,0.000196,0.008319881
2024-01-06,0.00023,0.011679171
2024-01-07,0.000313,0.018028565
2024-01-08,0.000372,0.013856427
2024-01-09,8.78e-05,
2024-01-10,0.000189,0.016042781
2024-01-11,0.000311,0.072782084
2024-01-12,0.000244,0.013980616
2024-01-13,0.000513,0.021753909
2024-01-14,,0.010058863
2024-01-15,,0.172267635
2024-01-16,0.000253,0.027997714
2024-01-17,0.000393,0.091876552
2024-01-18,0.000459,0.050123254
2024-01-19,0.000319,0.024282561
2024-01-20,0.000404,0.019990788
2024-01-21,0.000183,0.015283267
2024-01-22,0.000465,0.095761381
2024-01-23,0.000592,0.043956044
2024-01-24,0.000365,0.024742883
2024-01-25,0.000518,0.092299578
2024-01-26,0.000561,0.026351814
2024-01-27,0.000175,0.21289123
2024-01-28,,0.010264815
2024-01-29,0.000236,0.102897559
2024-01-30,0.000666,0.018236646
2024-01-31,,0.027483797
2024-02-01,7.56e-05,0.01640864
2024-02-02,0.000144,0.068169222
2024-02-03,0.000132,0.010980912
2024-02-04,,-0.024495429
2024-02-05,0.000133,
2024-02-06,,0.284953395
2024-02-07,0.00011,
2024-02-08,9.96e-05,0.282954545
2024-02-09,0.000205,0.348541511
2024-02-10,0.000354,0.247737833
2024-02-11,0.000266,0.162777622
2024-02-12,,0.026829268
2024-02-13,0.0006,0.055439499
2024-02-14,0.000182,0.049792531
2024-02-15,,0.245791246
2024-02-16,,0.202366127
2024-02-17,0.000175,0.29732163
2024-02-18,0.000182,0.260178117
2024-02-19,0.000113,0.054488099
2024-02-20,0.000247,0.166058838
2024-02-21,,0.167056378
2024-02-22,0.000154,0.253664036
2024-02-23,0.000137,0.263704184
2024-02-24,0.00033,0.276916632
2024-02-25,,0.272427984
2024-02-26,0.000347,0.084735754
2024-02-27,0.000151,0.029301978
2024-02-28,0.000135,0.299033149
2024-02-29,0.000171,0.34335512
2024-03-01,0.000292,0.071001132
2024-03-02,0.000102,0.142507944
2024-03-03,,0.18744313
2024-03-04,0.000218,0.324018629
2024-03-05,0.000149,0.350943396
2024-03-06,0.000155,0.041309824
2024-03-07,0.000115,0.231292517
2024-03-08,0.000145,0.293617021
2024-03-09,,0.319134775
2024-03-10,0.00014,0.340215243
2024-03-11,0.000195,0.230202578
2024-03-12,0.000164,0.261702128
2024-03-13,0.0002,0.308885755
2024-03-14,0.000148,0.318642882
2024-03-15,0.000146,0.332137251
2024-03-16,0.00021,0.194980695
2024-03-17,0.00021,0.098105263
2024-03-18,0.000151,0.319352906
2024-03-19,0.000213,0.215406562
2024-03-20,0.000129,0.286378088
2024-03-21,0.000155,0.308929182
2024-03-22,0.000178,0.295824961
2024-03-23,,0.276796231
2024-03-24,,
2024-03-25,,0.290543851
2024-03-26,0.000104,0.206435779
2024-03-27,0.000193,0.017038687
2024-03-28,0.000242,0.264430341
2024-03-29,0.00023,0.285807433
2024-03-30,0.000204,0.272986865
2024-03-31,0.000137,0.222010351
2024-04-01,0.000112,0.064659332
2024-04-02,0.000131,0.31136221
2024-04-03,0.000456,0.210730674
2024-04-04,0.000192,0.266507558
2024-04-05,0.000112,0.179791976
2024-04-06,0.000135,0.305648582
2024-04-07,0.000137,0.35451505
2024-04-08,0.000159,0.325155925
2024-04-09,0.000382,0.182825485
2024-04-10,0.000186,0.315742794
2024-04-11,0.000162,0.263619933
2024-04-12,0.000229,0.051761204
2024-04-13,0.000194,0.065988524
2024-04-14,0.000109,0.008190618
2024-04-15,0.000194,
2024-04-16,0.000149,0.263334264
2024-04-17,0.000151,0.40111034
2024-04-18,0.000141,0.321049209
2024-04-19,0.000132,0.321807704
2024-04-20,0.000157,
2024-04-21,0.000109,0.232574513
2024-04-22,0.000149,0.399790136
2024-04-23,0.000165,0.307557118
2024-04-24,0.000183,0.363908275
2024-04-25,0.000164,0.354170895
2024-04-26,0.000233,0.1929369
2024-04-27,0.000135,0.267896094
2024-04-28,0.000141,0.084652243
2024-04-29,0.000213,0.23755717
2024-04-30,0.000173,0.320605935
2024-05-01,0.000148,0.314841293
2024-05-02,0.00015,0.226764366
2024-05-03,0.000147,0.232123799
2024-05-04,0.000186,0.250853242
2024-05-05,0.000192,0.295088908
2024-05-06,0.000183,0.311425987
2024-05-07,0.000278,0.264418811
2024-05-08,0.000163,0.280066815
2024-05-09,0.000155,0.166802278
2024-05-10,0.00017,0.293182366
2024-05-11,0.000261,0.347603834
2024-05-12,0.000163,0.360659032
2024-05-13,0.000216,0.206915477
2024-05-14,0.000221,0.266022037
2024-05-15,0.000181,0.296558704
2024-05-16,0.000287,0.316411683
2024-05-17,0.000274,0.3036493
2024-05-18,0.000229,0.239893774
2024-05-19,0.000138,0.317256637
2024-05-20,0.000153,0.285939968
2024-05-21,0.00021,0.315930388
2024-05-22,0.000169,0.27640075
2024-05-23,0.000154,0.203564467
2024-05-24,0.000166,0.314521679
2024-05-25,0.000154,0.263930416
2024-05-26,0.000163,0.387202925
2024-05-27,0.000227,0.260306243
2024-05-28,0.000283,
2024-05-29,0.000183,0.274254515
2024-05-30,0.000168,0.25444415
2024-05-31,0.000167,0.293313395
2024-06-01,0.000121,0.254884348
2024-06-02,0.000167,0.344945355
2024-06-03,0.000157,0.308971464
2024-06-04,0.00015,0.018916526
2024-06-05,0.000136,0.167385057
2024-06-06,0.000238,0.288551115
2024-06-07,0.000172,0.249040044
2024-06-08,0.000125,0.275004745
2024-06-09,0.000128,0.299299883
2024-06-10,0.000113,0.356365159
2024-06-11,0.000164,0.267789245
2024-06-12,0.000174,0.2840562
2024-06-13,0.000142,0.255233665
2024-06-14,0.000114,0.249454148
2024-06-15,0.000114,0.299672935
2024-06-16,0.000134,0.260414129
2024-06-17,0.000132,0.338760175
2024-06-18,0.000115,0.289467672
2024-06-19,0.000118,0.195787458
2024-06-20,8.63e-05,0.156862745
2024-06-21,0.000189,0.230116649
2024-06-22,0.000183,0.236905721
2024-06-23,0.000209,0.253999031
2024-06-24,0.000215,0.050416055
2024-06-25,0.000182,0.069650029
2024-06-26,0.000222,-0.003861485
2024-06-27,0.000162,0.001839715
2024-06-28,0.0002,0.001548083
2024-06-29,0.000204,0.007671281
2024-06-30,0.000116,0.084734134
2024-07-01,0.000122,0.010141633
2024-07-02,0.000157,0.029139199
2024-07-03,,0.025326797
2024-07-04,0.00015,0.013083356
2024-07-05,0.000133,0.093062228
2024-07-06,0.000132,0.020930899
2024-07-07,0.000138,0.258929989
2024-07-08,8.17e-05,0.102181401
2024-07-09,,0.120623671
2024-07-10,,0.230376219
2024-07-11,0.000135,0.208707809
2024-07-12,9.75e-05,0.087080027
2024-07-13,0.000162,0.486346353
2024-07-14,0.000138,0.277693475
2024-07-15,0.000106,-0.007196343
2024-07-16,8.49e-05,0.039157268
2024-07-17,0.000109,0.025550981
2024-07-18,,0.080766813
2024-07-19,0.00019,0.172075727
2024-07-20,0.00012,0.15279406
2024-07-21,0.000106,
2024-07-22,,0.256299213
2024-07-23,0.000148,0.123069498
2024-07-24,0.00014,0.030491213
2024-07-25,0.000145,0.034614684
2024-07-26,,0.010695876
2024-07-27,0.000153,0.059519583
2024-07-28,9.3e-05,0.062746201
2024-07-29,0.00011,0.055559183
2024-07-30,0.000135,0.131392604
2024-07-31,0.000108,0.020996295
2024-08-01,0.000158,0.080257617
2024-08-02,,0.045482866
2024-08-03,9.33e-05,0.369936034
2024-08-04,7.9e-05,0.426479949
2024-08-05,6.63e-05,0.073277679
2024-08-06,0.000113,0.092959938
2024-08-07,0.000141,0.031607524
2024-08-08,9.87e-05,0.012594147
2024-08-09,8.39e-05,0.214135021
2024-08-10,0.00012,0.03372093
2024-08-11,0.000139,-0.014663037
2024-08-12,0.000101,0.018030187
2024-08-13,9.93e-05,0.016254417
2024-08-14,0.000117,0.156432749
2024-08-15,9.57e-05,0.211953514
2024-08-16,7.34e-05,0.030402245
2024-08-17,0.000125,0.275202481
2024-08-18,8.3e-05,0.322025565
2024-08-19,9.44e-05,0.046619576
2024-08-20,0.000128,0.0
2024-08-21,0.000125,0.344342177
2024-08-22,0.000121,0.395516992
2024-08-23,,-0.012026825
2024-08-24,0.000114,0.049699618
2024-08-25,0.000104,0.092872157
2024-08-26,0.0001,0.267217631
2024-08-27,8.86e-05,0.147379346
2024-08-28,8.57e-05,0.013314142
2024-08-29,4.8e-05,
2024-08-30,0.000135,0.385778408
2024-08-31,0.000108,0.257438551
2024-09-01,0.000102,0.308237677
2024-09-02,0.000103,-0.016688062
2024-09-03,9.16e-05,0.068190128
2024-09-04,,0.197318008
2024-09-05,0.000158,0.061886641
2024-09-06,0.000131,0.009443411
2024-09-07,0.000136,0.0619092
2024-09-08,,0.040677966
2024-09-09,0.000137,0.33245936
2024-09-10,0.000127,0.042817033
2024-09-11,8.19e-05,0.303857433
2024-09-12,,0.006713267
2024-09-13,8.22e-05,0.013486712
2024-09-14,9.71e-05,0.282812143
2024-09-15,9.88e-05,0.244671782
2024-09-16,0.000112,0.338135975
2024-09-17,0.000154,0.223120931
2024-09-18,,0.011117158
2024-09-19,0.000103,0.021246757
2024-09-20,0.000138,
2024-09-21,0.000144,
2024-09-22,0.000125,0.116340638
2024-09-23,0.000204,0.254166667
2024-09-24,,0.177460479
2024-09-25,0.000173,0.097231165
2024-09-26,0.000135,0.08494568
2024-09-27,0.000126,0.541339319
2024-09-28,0.00021,0.18070889
2024-09-29,0.000103,0.557005495
2024-09-30,0.00014,0.248669481
2024-10-01,0.000115,0.332411504
2024-10-02,0.000113,0.443003413
2024-10-03,0.000143,0.356082429
2024-10-04,0.000147,0.393071286
2024-10-05,0.00014,0.382833506
2024-10-06,0.000145,0.349545854
2024-10-07,0.00016,0.559241706
2024-10-08,0.000182,0.32448008
2024-10-09,0.0002,0.396162908
2024-10-10,0.000128,0.357992645
2024-10-11,0.000141,0.336228288
2024-10-12,0.000146,
2024-10-13,0.000199,0.32486665
2024-10-14,0.000251,0.3851778
2024-10-15,0.000168,0.335584065
2024-10-16,0.000228,0.269910433
2024-10-17,0.000202,0.328080808
2024-10-18,0.000306,0.292365999
2024-10-19,0.000363,0.403394727
2024-10-20,0.000187,0.293863854
2024-10-21,0.000254,0.35472973
2024-10-22,0.000209,0.170239596
2024-10-23,0.000136,0.225608051
2024-10-24,0.000169,0.366790165
2024-10-25,0.000149,0.307559714
2024-10-26,0.000191,0.31039047
2024-10-27,0.00024,0.225737495
2024-10-28,0.000164,0.302878598
2024-10-29,0.000208,0.397539543
2024-10-30,0.000415,0.28656794
2024-10-31,0.000131,0.166924266
2024-11-01,0.000131,
2024-11-02,0.000227,0.17947264
2024-11-03,0.00037,0.043859649
2024-11-04,0.00022,0.170887632
2024-11-05,0.000207,0.086910552
2024-11-06,0.00035,0.209673739
2024-11-07,0.000241,0.08195981
2024-11-08,0.000141,
2024-11-09,0.000141,0.181580324
2024-11-10,0.000194,0.107755946
2024-11-11,0.000295,0.185552408
2024-11-12,0.000153,0.204407075
2024-11-13,0.000171,0.030281996
2024-11-14,0.000233,0.116073505
2024-11-15,0.000139,0.063691155
2024-11-16,0.000152,0.136895891
2024-11-17,0.000109,0.033561644
2024-11-18,9.67e-05,0.013387734
2024-11-19,0.000136,0.079540433
2024-11-20,0.000178,0.054012933
2024-11-21,0.000177,0.203574975
2024-11-22,0.000195,0.074520303
2024-11-23,0.000245,0.137239325
2024-11-24,0.000132,0.238607595
2024-11-25,0.000113,0.027821522
2024-11-26,0.000119,0.278930131
2024-11-27,0.000152,0.147123894
2024-11-28,0.000173,0.419201521
2024-11-29,0.000368,0.193720565
2024-11-30,0.000201,0.063917526
2024-12-01,0.000145,0.240296804
2024-12-02,0.000192,0.291960508
2024-12-03,0.000147,0.269735273
2024-12-04,0.000129,0.266086957
2024-12-05,0.000186,
2024-12-06,0.000165,0.276608539
2024-12-07,0.000267,0.311355311
2024-12-08,0.000105,0.234827264
2024-12-09,0.000282,0.155952724
2024-12-10,0.00017,0.275517011
2024-12-11,0.000162,0.276947536
2024-12-12,0.000177,0.338440111
2024-12-13,0.000119,0.304586241
2024-12-14,0.00016,0.279707495
2024-12-15,0.000295,0.246267087
2024-12-16,0.000374,0.172289157
2024-12-17,0.000231,0.045251119
2024-12-18,0.000364,0.109457513
2024-12-19,0.000129,0.031791357
2024-12-20,0.000207,0.098760331
2024-12-21,0.000207,0.185647426
2024-12-22,0.000284,0.023399969
2024-12-23,0.000155,0.012329486
2024-12-24,0.000143,0.011890119
2024-12-25,0.000208,0.093929712
2024-12-26,0.000306,0.201219512
2024-12-27,,-0.010772641
2024-12-28,0.000126,-0.024831533
2024-12-29,7.74e-05,0.081735986
2024-12-30,0.000123,0.00684316
