system:index,urban_class,.geo
"4274,1580_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79749566146405,28.396149706762472]}"
"4275,1580_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81477864910174,28.396149706762472]}"
"4276,1580_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8331418234668,28.396149706762472]}"
"4277,1580_0",22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85150499783184,28.396149706762472]}"
"4278,1580_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86878798546955,28.396149706762472]}"
"4279,1580_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88715115983459,28.396149706762472]}"
"4280,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9044341474723,28.396149706762472]}"
"4281,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92279732183735,28.396149706762472]}"
"4282,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9411604962024,28.396149706762472]}"
"4283,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95844348384009,28.396149706762472]}"
"4284,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97680665820515,28.396149706762472]}"
"4285,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9951698325702,28.396149706762472]}"
"4286,1580_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01245282020788,28.396149706762472]}"
"4287,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03081599457295,28.396149706762472]}"
"4288,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04917916893798,28.396149706762472]}"
"4289,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06646215657568,28.396149706762472]}"
"4290,1580_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08482533094073,28.396149706762472]}"
"4291,1580_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10210831857844,28.396149706762472]}"
"4292,1580_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12047149294348,28.396149706762472]}"
"4293,1580_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13883466730853,28.396149706762472]}"
"4294,1580_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15611765494624,28.396149706762472]}"
"4295,1580_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17448082931129,28.396149706762472]}"
"4296,1580_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19284400367633,28.396149706762472]}"
"4297,1580_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21012699131403,28.396149706762472]}"
"4298,1580_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22849016567909,28.396149706762472]}"
"4299,1580_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24685334004414,28.396149706762472]}"
"4300,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26413632768184,28.396149706762472]}"
"4301,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28249950204689,28.396149706762472]}"
"4302,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29978248968457,28.396149706762472]}"
"4303,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31814566404964,28.396149706762472]}"
"4304,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33650883841467,28.396149706762472]}"
"4305,1580_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35379182605237,28.396149706762472]}"
"4306,1580_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37215500041742,28.396149706762472]}"
"4307,1580_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.39051817478249,28.396149706762472]}"
"4308,1580_0",22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40780116242018,28.396149706762472]}"
"4274,1581_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79688475638699,28.413984451575143]}"
"4275,1581_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81524985117528,28.413984451575143]}"
"4276,1581_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83253464627018,28.413984451575143]}"
"4277,1581_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85089974105848,28.413984451575143]}"
