date,precip_m,relative_humidity_percent,solar_rad_J_m2,temperature_K,wind_speed_m_s
01-04-2024,5.78E-19,44.75259115,787003.375,297.9739075,3.102678172
02-04-2024,-4.34E-19,42.86019465,843864.8125,298.3093262,2.410763023
03-04-2024,-5.06E-19,39.31722133,775123.9375,300.9205017,1.439997465
04-04-2024,6.81E-07,38.51586448,806221.375,301.6888733,2.157667918
05-04-2024,4.51E-06,37.63695447,729752,300.894043,3.254853945
06-04-2024,6.51E-19,33.89050019,882481.0625,300.1477966,2.879531135
07-04-2024,1.01E-18,30.72176851,894273.9375,300.4205933,2.630038317
08-04-2024,1.16E-18,32.28164152,871122.5,301.2704163,2.018349733
09-04-2024,-3.61E-19,33.27469534,780088.5625,301.1694031,1.186499629
10-04-2024,1.62E-06,29.90136834,872272.0625,302.4022522,1.277891277
11-04-2024,8.67E-19,33.60483918,852222.0625,302.06427,1.890409946
12-04-2024,7.23E-19,31.9630996,866496.1875,303.4653625,1.971811917
13-04-2024,9.07E-08,41.37918085,776691.5625,302.3866882,1.036526121
14-04-2024,2.41E-07,51.95924588,716240.1875,300.7640991,2.343467631
15-04-2024,4.93E-07,51.94216154,599796.875,301.993866,1.062795963
16-04-2024,-5.78E-19,39.46651074,833861.875,302.670929,3.999763577
17-04-2024,1.23E-18,27.0757745,901905.25,302.5676575,4.276916346
18-04-2024,3.43E-05,34.21047396,853350.25,303.9143066,2.506992608
19-04-2024,5.86E-06,37.04137124,792198.3125,304.3736267,2.318095316
20-04-2024,1.45E-19,38.01513519,810571.125,303.27771,3.272498028
21-04-2024,6.51E-19,36.12655451,844998.75,303.6707764,3.029665867
22-04-2024,3.61E-19,33.70640559,845352.125,303.5712891,2.374230082
23-04-2024,2.97E-05,40.03908004,850509.6875,301.609436,1.836951439
24-04-2024,-1.45E-19,34.85739984,912860.25,303.1282654,2.670181605
25-04-2024,1.45E-18,31.12013833,925221.625,304.0006104,2.79929196
26-04-2024,-7.23E-20,29.92342058,839325.3125,305.4156494,2.72822043
27-04-2024,8.02E-07,32.98669818,852605.4375,304.5875244,2.510050841
28-04-2024,1.01E-18,33.38025667,831771.5,304.6768494,1.732605006
29-04-2024,1.26E-07,38.3761345,824169.875,303.4351501,2.953090497
30-04-2024,-8.67E-19,26.75552645,955127.8125,302.5965576,3.130422342
