date,precip_m,relative_humidity_percent,solar_rad_J_m2,temperature_K,wind_speed_m_s
01-08-2024,5.19E-04,86.76706092,270620.9063,302.2254639,0.81034765
02-08-2024,4.22E-05,84.98219105,561931.5,303.3041077,3.070685519
03-08-2024,4.53E-05,78.97130694,624613.3125,304.2173767,3.667414246
04-08-2024,2.11E-05,75.18722732,566104.375,304.4329529,4.115354225
05-08-2024,3.91E-05,78.02031184,585357.9375,303.541748,5.141692055
06-08-2024,2.76E-05,78.08055145,431235.375,303.3973999,2.995482737
07-08-2024,8.15E-04,93.72297735,229528.2344,301.0155029,1.939389351
08-08-2024,1.62E-04,86.57089788,511725.2813,302.4710083,2.003181751
09-08-2024,2.17E-04,87.58364797,473800.125,302.7734985,1.35006632
10-08-2024,0.001001832,89.82792293,471386.4063,302.6188965,0.784169691
11-08-2024,7.61E-04,93.33798363,232938.25,300.73526,1.457282133
12-08-2024,7.73E-04,93.29458499,214627.0469,301.1358643,1.914330823
13-08-2024,0.001183278,91.43785605,307862.8438,302.0021667,1.92835673
14-08-2024,6.73E-04,87.89567604,409821.875,303.0611572,1.76959493
15-08-2024,3.28E-04,89.45379661,527484.5625,302.8070068,2.173546615
16-08-2024,4.91E-04,88.72879328,465893.625,302.9870605,2.234731477
17-08-2024,4.80E-05,82.77181975,555945.875,304.0597534,1.208551234
18-08-2024,1.09E-04,81.26650536,503211.4375,304.3263245,2.48678585
19-08-2024,1.29E-04,82.10080214,581269.5,303.5666504,2.193912405
20-08-2024,6.30E-04,87.58608111,399285.875,302.29599,0.759209149
21-08-2024,1.37E-04,83.49262827,631847.1875,303.8138428,0.490535388
22-08-2024,2.90E-04,81.90596557,655776.1875,303.7745667,0.966931324
23-08-2024,2.09E-04,87.406702,469117.375,302.3148804,0.589818947
24-08-2024,6.26E-05,85.05246374,619381.8125,303.7227173,1.540370075
25-08-2024,7.29E-05,78.24326525,663219.4375,304.1200562,3.871153402
26-08-2024,5.20E-04,83.17722316,578928,302.8071899,4.416193261
27-08-2024,4.61E-04,86.92562924,451047.3438,301.8642578,4.055409951
28-08-2024,4.16E-04,88.98298456,494012.125,301.668335,3.077274717
29-08-2024,6.34E-05,90.73170853,353695.6563,301.0785522,2.730091882
30-08-2024,1.73E-04,84.65736706,669014.5,303.0545349,0.34196714
31-08-2024,1.24E-05,79.78604551,667489.5625,304.2799683,2.103663311
