date,precip_m,relative_humidity_percent,solar_rad_J_m2,temperature_K,wind_speed_m_s
01-12-2024,0,69.35928668,493256,290.6383667,1.855886201
02-12-2024,0,70.17943338,500109.3438,290.9289551,2.197625987
03-12-2024,0,66.19911782,497874.6563,291.8131714,2.435476743
04-12-2024,0,58.94171363,501296,291.2451477,3.230047947
05-12-2024,0,55.21561711,513104,289.1398315,2.81748124
06-12-2024,0,61.75175152,507314.6563,288.6231995,2.695553679
07-12-2024,0,62.64776416,507434.6563,287.9488525,0.745640572
08-12-2024,4.06E-05,64.06201131,442392,289.3285522,3.068679397
09-12-2024,0,72.14716176,490042.6563,287.4090881,1.221331458
10-12-2024,0,57.34323655,505637.3438,286.5571289,3.000823678
11-12-2024,0,52.7188179,513597.3438,285.6381836,2.802623118
12-12-2024,0,61.50346594,508266.6563,286.3505554,2.833253244
13-12-2024,0,51.13321519,513952,287.002533,3.937089966
14-12-2024,0,55.05465291,509757.3438,286.2059326,2.981828559
15-12-2024,0,62.66041057,512002.6563,286.0187988,1.64244913
16-12-2024,0,67.55876183,509112,286.1924133,1.629352779
17-12-2024,0,74.21910246,501914.6563,285.9459534,0.961723535
18-12-2024,0,72.97475842,502845.3438,285.7224426,1.187195774
19-12-2024,0,74.28525851,498093.3438,286.3453064,2.091594402
20-12-2024,0,77.48449576,450712,287.3025818,1.510117765
21-12-2024,0,75.33366102,490872,286.7714539,1.691732872
22-12-2024,0,75.46833316,490397.3438,287.3995056,1.564543036
23-12-2024,1.73E-04,80.6570194,271106.6563,286.8182983,2.571830635
24-12-2024,2.28E-05,80.86019468,418520,288.0010986,1.838243247
25-12-2024,0,81.66046806,470696,287.4785767,2.031972181
26-12-2024,0,79.09385579,487080,288.3262329,1.037104702
27-12-2024,0.001292129,93.58083134,115922.6641,287.3925781,2.826635906
28-12-2024,1.94E-04,96.02643127,134277.3281,287.8162537,0.774785976
29-12-2024,2.38E-07,95.39597908,352906.6563,285.826355,2.952068893
30-12-2024,0,92.0581267,442914.6563,284.9874268,2.480043142
31-12-2024,3.58E-07,91.0324999,357861.3438,284.2117615,1.107468381
