date,precip_m,relative_humidity_percent,solar_rad_J_m2,temperature_K,wind_speed_m_s
01-02-2024,3.23E-05,91.15921801,272772.2188,288.5346985,3.089959501
02-02-2024,5.42E-07,84.35122449,508795.75,286.7946167,2.520479374
03-02-2024,4.53E-05,66.24795358,542434.5625,289.1673279,1.132383404
04-02-2024,3.76E-04,90.11048834,295335.4688,289.4450073,1.716340196
05-02-2024,5.79E-06,81.80824057,482822.0313,287.9060974,2.301215714
06-02-2024,3.61E-19,72.12125113,614824.3125,286.2325745,2.778800688
07-02-2024,1.08E-18,64.73248955,611376.25,286.7085876,3.837568537
08-02-2024,3.61E-19,57.9607657,636777.25,287.5595093,4.68118608
09-02-2024,-5.06E-19,64.29296784,632279.75,288.1506042,1.261753833
10-02-2024,-2.17E-19,69.38410424,634761.125,287.9162292,1.603699666
11-02-2024,7.23E-19,72.67388799,635606.75,288.1051941,2.137825991
12-02-2024,1.45E-19,73.88032478,551516.5625,288.6966248,1.309862427
13-02-2024,3.61E-19,73.86298606,565234,289.1580505,1.609528507
14-02-2024,5.06E-19,73.53904312,633229.3125,289.6900024,2.255422812
15-02-2024,5.06E-19,70.45547267,650708.9375,289.2666931,2.553586062
16-02-2024,-2.17E-19,63.18646159,665265.4375,289.1479187,2.336930405
17-02-2024,2.17E-19,61.51869459,665265.4375,289.7380066,2.287393032
18-02-2024,6.51E-19,61.63143641,636936.9375,293.0062866,2.825304232
19-02-2024,1.69E-05,68.45413374,625270.375,293.7711487,4.976468854
20-02-2024,1.65E-07,69.30031723,532535.625,293.1453247,0.783552344
21-02-2024,1.76E-07,64.96221437,679188.3125,291.4112549,2.137168994
22-02-2024,1.60E-06,57.53601014,668294.125,290.29245,2.466584939
23-02-2024,2.17E-19,52.20444187,703719.9375,289.1737061,2.128577131
24-02-2024,6.87E-06,52.63373879,629251.8125,289.9181519,0.4210639
25-02-2024,1.45E-19,49.50327608,689260.125,290.3715515,1.85137662
26-02-2024,6.91E-07,51.85809938,588265.3125,291.5950623,1.491695197
27-02-2024,1.25E-05,58.28514139,621354.75,290.6559753,2.736726484
28-02-2024,5.06E-19,59.84068582,712678,290.991272,3.185266421
29-02-2024,-1.23E-18,60.41478347,722867.75,292.1462402,2.315412612
