date,precip_m,relative_humidity_percent,solar_rad_J_m2,temperature_K,wind_speed_m_s
01-07-2024,5.98E-04,80.05384925,521787.4688,304.5661621,0.757163549
02-07-2024,6.63E-04,80.84458352,459494.3125,304.6472473,1.113837715
03-07-2024,0.001710091,89.10156057,358865.5313,302.2536011,0.841269463
04-07-2024,8.72E-04,90.58703479,258630.1719,301.697998,1.558394126
05-07-2024,1.92E-04,88.72204093,477365.375,302.097168,2.472947901
06-07-2024,4.32E-05,87.127689,322336,301.8937073,2.142413868
07-07-2024,4.87E-06,81.75210188,448611.7813,302.3365173,1.547998639
08-07-2024,9.45E-06,83.47318229,546534.9375,302.3121643,2.177044035
09-07-2024,5.51E-05,79.1334299,666454.375,304.5736694,1.218718253
10-07-2024,3.98E-05,77.05904055,738307.5625,305.4249878,1.110714415
11-07-2024,8.50E-06,68.12668959,756532.5625,306.8084106,1.372477791
12-07-2024,1.81E-04,72.76316233,684139.5625,304.4145813,2.351935277
13-07-2024,4.05E-04,79.50725494,611085.3125,303.837616,0.045185546
14-07-2024,4.40E-05,71.74255125,784465.5625,305.8878784,0.927413735
15-07-2024,7.66E-04,80.07083928,616129.3125,304.7289734,2.514622017
16-07-2024,8.99E-05,77.0052642,591331.0625,305.5783691,2.645294145
17-07-2024,3.38E-05,81.01539896,719053.75,305.0234985,2.242044341
18-07-2024,6.57E-05,83.55408236,610427.8125,304.6970825,1.580806305
19-07-2024,3.78E-05,81.10976125,671239.8125,305.0223694,2.531245279
20-07-2024,2.21E-05,74.87706328,711103.0625,306.2844543,1.90587961
21-07-2024,7.44E-05,78.63113278,665542,305.7411804,2.788920775
22-07-2024,4.53E-05,80.19565339,649283.25,304.7267151,2.456999621
23-07-2024,3.82E-05,82.6712365,653659.125,304.7701111,1.173203695
24-07-2024,1.33E-04,85.91664628,397104.3125,303.5172424,0.341856225
25-07-2024,1.01E-04,80.75506836,636591.9375,304.9968262,0.524660015
26-07-2024,5.84E-05,82.00614572,495878.5,304.7166138,0.310441232
27-07-2024,3.16E-04,85.07667085,492012.6875,304.4234619,1.26476934
28-07-2024,2.11E-04,76.63792695,583625.875,306.3162231,2.298673634
29-07-2024,9.26E-06,73.79685969,716999,306.5596313,3.20381756
30-07-2024,1.76E-05,75.34977307,655064,306.9804688,1.711679826
31-07-2024,4.49E-04,83.0431273,302970.25,304.6154785,1.809693847
