date,precip_m,relative_humidity_percent,solar_rad_J_m2,temperature_K,wind_speed_m_s
01-06-2024,2.89E-06,29.93531908,835830.5625,310.2259827,3.261297785
02-06-2024,1.84E-08,37.60214076,875884.1875,308.9699707,1.737670068
03-06-2024,5.06E-19,32.93474269,889385.9375,310.0574646,2.875767831
04-06-2024,1.90E-07,31.10870526,875477.125,310.0498657,1.599823195
05-06-2024,4.98E-05,38.95663317,870441.375,308.7476196,2.436651366
06-06-2024,1.51E-06,41.85583375,892786.75,307.0880737,1.662085276
07-06-2024,4.30E-05,38.39923054,877424.875,308.3953857,3.46658586
08-06-2024,1.22E-06,37.37932965,844863.375,307.6473999,3.473432796
09-06-2024,-7.23E-19,28.87786877,939695.8125,308.4653015,3.393792437
10-06-2024,7.95E-19,28.62602635,929511.5,309.2036438,2.900146346
11-06-2024,-1.45E-19,28.76733402,923260.25,309.3753357,2.643509693
12-06-2024,-1.45E-19,26.86001677,924712.5,310.3074951,3.452721371
13-06-2024,7.95E-19,26.59849255,880333.4375,311.9677429,4.862488443
14-06-2024,1.45E-19,30.46566048,831220.25,311.3751221,5.127007967
15-06-2024,-6.51E-19,29.932915,880123,312.1869507,4.934900779
16-06-2024,7.23E-20,30.30443593,873346.3125,312.632019,4.4458896
17-06-2024,0,32.52182057,811777.9375,313.1578979,4.701331631
18-06-2024,3.61E-19,35.2108898,834444.3125,312.9010315,5.202023285
19-06-2024,5.83E-06,40.16151843,856652.875,310.5967407,3.631133252
20-06-2024,8.50E-05,54.81694031,783761.3125,306.574707,1.505438487
21-06-2024,1.88E-04,66.59042379,721310.5625,303.9805908,1.756262564
22-06-2024,9.63E-07,56.80023148,767647.1875,306.7337341,1.175408708
23-06-2024,1.95E-05,62.19582656,804526.6875,307.3968201,1.713347146
24-06-2024,1.72E-05,63.46763937,724609.8125,306.4001465,2.298085247
25-06-2024,1.76E-04,63.57282036,657751.6875,307.1755066,1.875473612
26-06-2024,6.39E-04,76.94357231,518026.7188,304.7246094,3.533914274
27-06-2024,2.03E-04,80.64993361,396600.5938,303.2746582,3.675830582
28-06-2024,1.78E-04,80.00567329,400218.125,303.4634094,1.851224011
29-06-2024,0.001062508,84.15906864,479094.25,303.4348755,1.633489294
30-06-2024,4.85E-04,77.43585232,624022.875,305.4138794,0.220381784
