date,precip_m,relative_humidity_percent,solar_rad_J_m2,temperature_K,wind_speed_m_s
01-03-2024,3.79E-05,59.54842547,599324.8125,294.3766785,2.384313777
02-03-2024,0.001623274,83.61440274,535772.3125,293.0840454,4.688010035
03-03-2024,5.55E-05,59.58463802,633576.1875,290.6086121,0.765633456
04-03-2024,2.54E-08,59.05304799,742618.625,288.9799194,2.351990166
05-03-2024,6.88E-08,57.97718531,751189.75,288.6015015,2.841095496
06-03-2024,5.36E-07,57.7451193,709806.625,289.6338806,2.217386018
07-03-2024,7.95E-19,58.64149856,752988.5625,291.00177,2.132205135
08-03-2024,-1.23E-18,59.99930145,765836.5,291.3721008,2.625461058
09-03-2024,-5.06E-19,56.26893463,781817.9375,291.7558899,3.029289056
10-03-2024,4.70E-06,55.23136407,742124.75,293.771698,0.549840845
11-03-2024,3.61E-19,55.54281779,762524.5625,295.3330994,0.678634339
12-03-2024,-1.16E-18,62.23624963,732163.5625,294.595459,2.402748252
13-03-2024,1.95E-05,64.10979551,691046.375,294.2619324,0.754538659
14-03-2024,-1.45E-19,55.52889208,740016.6875,295.0652466,2.760128022
15-03-2024,7.95E-19,48.08536732,821277.5,293.2038269,3.124648457
16-03-2024,6.51E-19,51.222772,806114.875,293.6899414,2.112627753
17-03-2024,1.45E-19,53.44581762,777168.125,294.099884,2.23254069
18-03-2024,5.78E-19,50.61506685,823149.625,295.0907288,2.032183925
19-03-2024,4.34E-19,53.27052994,816798.6875,295.3838806,2.035946348
20-03-2024,7.23E-19,53.6237342,825038.875,296.5578613,1.814200955
21-03-2024,-3.61E-19,68.67155536,783431.6875,295.9052124,3.197372003
22-03-2024,5.78E-19,64.24697512,807241.75,297.6485596,1.07050476
23-03-2024,1.30E-18,54.32659991,822423.4375,298.3355713,2.592538266
24-03-2024,3.36E-07,60.46858117,619728,296.5518799,2.355295969
25-03-2024,0,54.84173352,825849.5625,298.6265869,3.045877407
26-03-2024,7.23E-19,54.79192925,782375.125,299.3792419,1.437200757
27-03-2024,-4.34E-19,52.98881015,806088.875,301.0297546,2.018443049
28-03-2024,-7.23E-20,53.00493482,735776.0625,301.3634033,2.067879113
29-03-2024,6.88E-08,56.36966105,786446.625,301.9896545,1.356465173
30-03-2024,2.91E-05,58.04546874,793027.625,300.8257751,2.199841174
31-03-2024,-4.34E-19,51.7627797,834780.375,300.684021,3.361731722
