date,precip_m,relative_humidity_percent,solar_rad_J_m2,temperature_K,wind_speed_m_s
01-11-2024,0,60.4297598,597834.6875,297.9194641,2.066852301
02-11-2024,0,63.94078879,588200,297.0423889,0.600411965
03-11-2024,0,66.96120454,578173.3125,296.7467651,0.841591257
04-11-2024,0,69.97115994,575925.3125,296.0861511,0.616559507
05-11-2024,0,74.5430354,563920,296.420929,1.559741378
06-11-2024,0,76.83688796,556762.6875,296.8168335,0.583755144
07-11-2024,0,76.34262292,533778.6875,296.9821167,1.334683613
08-11-2024,0,75.8825403,533146.6875,297.4178162,1.471411494
09-11-2024,4.77E-07,75.72361138,486218.6563,297.664917,2.081072886
10-11-2024,0,77.60062023,538928,297.3003845,1.155295234
11-11-2024,3.97E-08,76.21338212,508941.3438,297.0599365,1.145844037
12-11-2024,0,73.83596257,533562.6875,296.5641479,1.100571008
13-11-2024,0,81.12004132,529730.6875,294.4097595,1.254870995
14-11-2024,0,80.3590783,529653.3125,294.0836182,0.759717724
15-11-2024,3.97E-08,77.41542098,520328,294.228302,1.624307719
16-11-2024,0,75.61570427,526128,294.1592712,1.769325979
17-11-2024,9.74E-07,80.07270909,507954.6563,292.7278137,2.247418972
18-11-2024,0,79.57585258,497104,291.3823242,2.32953717
19-11-2024,0,72.68792229,534682.6875,290.6806641,2.002791029
20-11-2024,0,65.836143,536384,291.2095642,1.529786439
21-11-2024,0,66.90302513,534752,291.1505737,1.835515349
22-11-2024,0,68.46374392,521800,292.1694031,0.690191718
23-11-2024,0,66.69240494,512376,292.292511,1.115266221
24-11-2024,0,65.84375369,514221.3438,292.4293518,2.469603718
25-11-2024,0,73.03687405,511618.6563,291.8672485,2.42950843
26-11-2024,0,67.8709826,516496,290.8342285,2.256122054
27-11-2024,0,64.72670739,518232,291.3762512,1.155717024
28-11-2024,0,65.92986758,517933.3438,290.796051,1.254214136
29-11-2024,0,68.61427351,510922.6563,290.8155212,1.391124583
30-11-2024,0,68.65901483,504264,290.2929688,1.997190968
