date,precip_m,relative_humidity_percent,solar_rad_J_m2,temperature_K,wind_speed_m_s
01-10-2024,0,78.16780496,664757.3125,303.1230774,1.787532616
02-10-2024,0,77.07173872,686344,303.0983276,1.887081127
03-10-2024,0,69.19671567,693306.6875,302.6946716,0.964992907
04-10-2024,0,73.25965551,679746.6875,302.7322998,0.943618499
05-10-2024,0,70.3525655,664677.3125,302.8935852,1.628712719
06-10-2024,4.01E-06,70.88385115,658896,301.7868652,1.37726451
07-10-2024,0,71.61086792,677322.6875,301.1445618,1.645419424
08-10-2024,7.95E-08,73.68803167,634298.6875,300.9679565,1.284834503
09-10-2024,0,69.99510445,662117.3125,300.3962708,1.903323938
10-10-2024,0,64.18132733,664090.6875,299.395752,2.484165147
11-10-2024,0,68.15782584,672090.6875,298.7754517,2.356228434
12-10-2024,0,67.15476306,667424,299.3005676,0.586008985
13-10-2024,0,64.14013912,642528,299.9155884,0.646549997
14-10-2024,0,62.30236974,660458.6875,299.3584595,1.354475349
15-10-2024,0,62.97377831,653120,298.8444214,2.215973536
16-10-2024,0,64.80905142,612597.3125,299.6338196,0.124902166
17-10-2024,0,69.43276996,623122.6875,299.7530212,0.826388533
18-10-2024,0,68.58586061,634816,300.0852051,0.628603257
19-10-2024,0,70.50770346,631858.6875,300.2572937,0.579488964
20-10-2024,0,76.05578969,613208,299.7713623,1.532267232
21-10-2024,1.89E-06,75.44380599,615576,299.4716797,1.186885222
22-10-2024,0,74.35153423,615440,299.3825073,1.43619229
23-10-2024,0,68.87221365,597368,299.3432617,2.78129611
24-10-2024,0,66.29131839,622722.6875,298.7281189,2.735716103
25-10-2024,0,67.13304487,613858.6875,298.3157043,2.725792615
26-10-2024,0,69.88680702,611258.6875,298.339447,1.085864553
27-10-2024,0,76.60422396,599117.3125,298.6949463,1.558436086
28-10-2024,0,73.90595549,592562.6875,299.2861023,1.857077784
29-10-2024,0,73.55493512,583552,300.1176453,1.475549516
30-10-2024,0,71.82924554,588016,299.7703857,1.158151545
31-10-2024,0,63.45153707,589584,298.9500732,2.933541667
