date,precip_m,relative_humidity_percent,solar_rad_J_m2,temperature_K,wind_speed_m_s
01-09-2024,1.30E-04,81.21461776,635460.6875,304.1208801,0.320497848
02-09-2024,2.19E-04,86.6591502,446604.3438,302.7171021,2.749963774
03-09-2024,4.15E-04,87.61037782,528142.3125,302.2240295,1.473150376
04-09-2024,5.34E-04,91.45573723,519584,300.4787598,0.388512938
05-09-2024,2.50E-04,87.43232272,481725.3438,302.0167847,0.680761523
06-09-2024,9.19E-04,89.56381172,429818.6563,301.2475281,2.104424082
07-09-2024,3.50E-04,89.55410737,347490.6563,301.1930237,0.573616703
08-09-2024,3.17E-05,87.43926428,431994.6563,302.0846252,1.3028349
09-09-2024,2.57E-04,85.40662231,527226.6875,302.9476929,0.668849028
10-09-2024,5.47E-05,88.11152189,519120,301.8226929,0.857768578
11-09-2024,9.24E-04,88.71160632,370997.3438,301.7562256,1.423075691
12-09-2024,0.005353967,94.85753918,88896,298.958252,2.715830411
13-09-2024,0.001017332,94.551475,149722.6719,298.3825378,1.815657356
14-09-2024,6.77E-05,86.5312964,458584,300.5689087,1.826243255
15-09-2024,2.07E-05,79.81006208,661120,301.4685364,2.76147221
16-09-2024,4.97E-07,77.89878311,692368,301.9876099,2.716851607
17-09-2024,5.46E-06,80.35052035,572325.3125,302.041626,0.659200514
18-09-2024,7.37E-04,91.37781423,290562.6563,298.2952576,3.202731093
19-09-2024,5.34E-05,88.63845491,503018.6563,300.8197021,1.799488699
20-09-2024,2.76E-06,80.22497829,590149.3125,302.3298035,1.089428081
21-09-2024,1.74E-05,76.9696357,521765.3438,303.5501709,0.5650131
22-09-2024,1.39E-06,78.65398367,535464,303.7730103,1.444388054
23-09-2024,0,79.4407043,686824,303.9015503,1.552982136
24-09-2024,0,79.85430256,646434.6875,304.2736816,0.404396549
25-09-2024,5.92E-05,83.1405561,511005.3438,303.4283142,2.576570677
26-09-2024,4.83E-05,84.3660714,533882.6875,302.5027771,2.461359623
27-09-2024,1.24E-05,80.70379479,496405.3438,301.3147583,2.981001356
28-09-2024,2.84E-06,82.97953559,517890.6563,300.8276672,1.568246714
29-09-2024,4.95E-06,82.36224083,580381.3125,301.5947571,0.417739837
30-09-2024,0,80.24745506,611002.6875,302.0985107,2.214244378
